nearest_signal_id,nearest_signal_name,scenario_label,hourly_demand,baseline_cycle_length_sec,lost_time_sec,effective_green_sec,green_time_phase_a_sec,green_time_phase_b_sec,capacity_phase_a_per_hour,capacity_phase_b_per_hour,baseline_total_capacity_per_hour,throughput_proxy,queue_pressure_proxy,delay_proxy
436631,YONGE ST / STEELES AVE,average-demand,1294.9930555555557,90,10,80,40.0,40.0,800.0,800.0,1600.0,1294.9930555555557,0.0,0.0
12377332,EGLINTON AVE W / MARTIN GROVE RD,average-demand,1231.190476190476,90,10,80,40.0,40.0,800.0,800.0,1600.0,1231.190476190476,0.0,0.0
3327208,STEELES AVE W / DUFFERIN ST,average-demand,1046.3819444444443,90,10,80,40.0,40.0,800.0,800.0,1600.0,1046.3819444444443,0.0,0.0
909165,DIXON RD / 427 N DIXON RAMP / PRIVATE ACCESS,average-demand,1035.7291666666667,90,10,80,40.0,40.0,800.0,800.0,1600.0,1035.7291666666667,0.0,0.0
821,MILLWOOD RD / VILLAGE STATION RD / REDWAY RD,average-demand,965.3125,90,10,80,40.0,40.0,800.0,800.0,1600.0,965.3125,0.0,0.0
821,MILLWOOD RD / VILLAGE STATION RD / REDWAY RD,peak-demand,3047.0,90,10,80,40.0,40.0,800.0,800.0,1600.0,1600.0,1447.0,0.4748933377092222
12377332,EGLINTON AVE W / MARTIN GROVE RD,peak-demand,2621.0,90,10,80,40.0,40.0,800.0,800.0,1600.0,1600.0,1021.0,0.38954597481877146
909165,DIXON RD / 427 N DIXON RAMP / PRIVATE ACCESS,peak-demand,2447.0,90,10,80,40.0,40.0,800.0,800.0,1600.0,1600.0,847.0,0.3461381283203923
436631,YONGE ST / STEELES AVE,peak-demand,2418.0,90,10,80,40.0,40.0,800.0,800.0,1600.0,1600.0,818.0,0.33829611248966085
3327208,STEELES AVE W / DUFFERIN ST,peak-demand,2249.0,90,10,80,40.0,40.0,800.0,800.0,1600.0,1600.0,649.0,0.28857269897732324
