date,daily_total_volume,peak_hour_volume,peak_ratio,congestion_target,year,month,quarter,day_of_week,is_weekend,week_of_year,lag_1,lag_7,lag_14,roll_7_mean,roll_14_mean,roll_7_std
2015-05-12,1366639,127084,0.0929901751669607,1366639,2015,5,2,1,0,20,338634.0,73747.0,851629.0,221566.7142857143,449260.5,105517.31006445343
2015-05-13,1380407,127418,0.09230466087175739,1380407,2015,5,2,2,0,20,1366639.0,72241.0,860400.0,406265.5714285714,486046.9285714286,431537.48641914333
2015-05-14,1544706,141528,0.09162131823143045,1544706,2015,5,2,3,0,20,1380407.0,273086.0,911364.0,593146.4285714285,523190.28571428574,533893.80003357
2015-05-15,500843,41697,0.08325363437244805,500843,2015,5,2,4,0,20,1544706.0,283400.0,673252.0,774806.4285714285,568429.0,616749.542511074
2015-05-16,397832,31794,0.0799181564077299,397832,2015,5,2,5,1,20,500843.0,266022.0,683961.0,805869.7142857143,556114.0714285715,592888.5754287266
2015-05-17,345650,29430,0.08514393172284103,345650,2015,5,2,6,1,20,397832.0,243837.0,685287.0,824699.7142857143,535676.2857142857,574699.692100641
2015-05-18,335501,29130,0.08682537458904742,335501,2015,5,2,0,0,21,345650.0,338634.0,72787.0,839244.4285714285,511416.5,558612.0764176326
2015-05-19,344479,30241,0.08778764452985523,344479,2015,5,2,1,0,21,335501.0,1366639.0,73747.0,838796.8571428572,530181.7857142857,559081.0838496293
2015-05-20,345274,30453,0.08819951690541425,345274,2015,5,2,2,0,21,344479.0,1380407.0,72241.0,692774.0,549519.7857142857,531021.6634576534
2015-05-25,202726,18891,0.09318488994998175,202726,2015,5,2,0,0,22,345274.0,1544706.0,273086.0,544897.8571428572,569022.1428571428,444737.6894108211
2015-05-26,663458,60135,0.09063874427620136,663458,2015,5,2,1,0,22,202726.0,500843.0,283400.0,353186.4285714286,563996.4285714285,88451.5203164157
2015-05-27,670225,60767,0.0906665671975829,670225,2015,5,2,2,0,22,663458.0,397832.0,266022.0,376417.14285714284,591143.4285714285,140018.06492071823
2015-05-28,680264,59716,0.08778356638011126,680264,2015,5,2,3,0,22,670225.0,345650.0,243837.0,415330.4285714286,620015.0714285715,179301.93585202965
2015-05-29,214047,19235,0.08986344120683776,214047,2015,5,2,4,0,22,680264.0,335501.0,338634.0,463132.4285714286,651188.4285714285,200928.81074222634
2015-05-30,274505,20291,0.07391850785960183,274505,2015,5,2,5,1,22,214047.0,344479.0,1366639.0,445781.85714285716,642289.3571428572,218281.46767528358
2015-05-31,237307,18134,0.07641578208818113,237307,2015,5,2,6,1,22,274505.0,345274.0,1380407.0,435785.5714285714,564279.7857142857,225186.8881668855
2015-06-01,315336,26837,0.08510604561483624,315336,2015,6,2,0,0,23,237307.0,202726.0,1544706.0,420361.71428571426,482629.78571428574,235863.99286574265
2015-06-02,319676,27446,0.0858556788748608,319676,2015,6,2,1,0,23,315336.0,663458.0,500843.0,436448.85714285716,394817.64285714284,221977.64983396235
2015-06-03,320593,27294,0.08513598238264716,320593,2015,6,2,2,0,23,319676.0,670225.0,397832.0,387337.14285714284,381877.14285714284,200359.46363925302
2015-06-04,333562,26898,0.08063868186424113,333562,2015,6,2,3,0,23,320593.0,680264.0,345650.0,337389.71428571426,376360.0714285714,156965.765672766
2015-06-05,340082,27982,0.08228015596238554,340082,2015,6,2,4,0,23,333562.0,214047.0,335501.0,287860.85714285716,375496.64285714284,46743.3263023617
2015-06-06,173137,13848,0.07998290371208927,173137,2015,6,2,5,1,23,340082.0,274505.0,344479.0,305865.85714285716,375823.85714285716,36785.26290707204
2015-06-07,140451,11738,0.08357363066122704,140451,2015,6,2,6,1,23,173137.0,237307.0,345274.0,291384.71428571426,363585.14285714284,62295.60587958272
2015-06-09,18947,1837,0.09695466300733625,18947,2015,6,2,1,0,24,140451.0,315336.0,202726.0,277548.14285714284,348954.9285714286,83467.44578462341
2015-06-10,18942,1888,0.0996726850385387,18942,2015,6,2,2,0,24,18947.0,319676.0,663458.0,235206.85714285713,335827.85714285716,125630.42667738712
2015-06-11,19381,1867,0.09633145864506476,19381,2015,6,2,3,0,24,18942.0,320593.0,670225.0,192244.85714285713,289791.0,142251.73863896693
2015-06-22,27502,2400,0.0872663806268635,27502,2015,6,2,0,0,26,19381.0,333562.0,680264.0,149214.57142857142,243302.14285714287,142513.608581608
2015-06-23,28565,2408,0.08429896726763522,28565,2015,6,2,1,0,26,27502.0,340082.0,214047.0,105491.71428571429,196676.2857142857,122003.3672700776
2015-06-24,28445,2419,0.08504130778695729,28445,2015,6,2,2,0,26,28565.0,173137.0,274505.0,60989.28571428572,183427.57142857142,66245.4827760912
2015-06-25,29048,2566,0.08833654640594878,29048,2015,6,2,3,0,26,28445.0,140451.0,237307.0,40319.0,165851.85714285713,44388.39875086671
2015-06-26,29989,2483,0.08279702557604456,29989,2015,6,2,4,0,26,29048.0,18947.0,315336.0,24404.285714285714,150976.2142857143,4994.1759985030885
2015-08-17,187919,15320,0.08152448661391344,187919,2015,8,3,0,0,34,29989.0,18942.0,319676.0,25981.714285714286,130594.28571428571,4719.460834745066
2015-08-18,575019,49389,0.08589107490361188,575019,2015,8,3,1,0,34,187919.0,19381.0,320593.0,50121.28571428572,121183.07142857143,60866.97849877812
2015-08-19,576518,49202,0.08534338910493688,576518,2015,8,3,2,0,34,575019.0,27502.0,333562.0,129498.14285714286,139356.35714285713,205222.06735503752
2015-08-20,388053,33924,0.08742104815579316,388053,2015,8,3,3,0,34,576518.0,28565.0,340082.0,207929.0,156710.35714285713,257895.43282565667
2015-08-25,1880,247,0.13138297872340426,1880,2015,8,3,1,0,35,388053.0,28445.0,173137.0,259284.42857142858,160136.85714285713,251949.68949101437
2015-08-26,1885,250,0.13262599469496023,1885,2015,8,3,2,0,35,1880.0,29048.0,140451.0,255489.42857142858,147904.2142857143,256170.92604278604
2015-08-27,1879,257,0.13677488025545503,1879,2015,8,3,3,0,35,1885.0,29989.0,18947.0,251609.0,138006.64285714287,260344.43263812302
2015-11-03,45130,4496,0.09962331043651673,45130,2015,11,4,1,0,45,1879.0,187919.0,18942.0,247593.2857142857,136787.5,264515.9441966355
